	urls
0	https://www.cars-data.com/en/audi-rs4-avant-2019/4127
1	https://www.cars-data.com/en/audi-rs5-sportback-2019/4128
2	https://www.cars-data.com/en/audi-tt-coupe-2019/4138
3	https://www.cars-data.com/en/audi-tt-roadster-2019/4139
4	https://www.cars-data.com/en/bmw-3-serie-2019/4146
5	https://www.cars-data.com/en/bmw-3-serie-touring-2019/4147
6	https://www.cars-data.com/en/bmw-7-serie-2019/4149
7	https://www.cars-data.com/en/bmw-8-serie-cabrio-2019/4151
8	https://www.cars-data.com/en/bmw-x1-2019/4155
9	https://www.cars-data.com/en/bmw-x7-2019/4160
10	https://www.cars-data.com/en/bmw-z4-roadster-2019/4161
11	https://www.cars-data.com/en/citroen-berlingo-2019/4165
12	https://www.cars-data.com/en/citroen-c5-aircross-2019/4170
13	https://www.cars-data.com/en/ds-3-crossback-2019/4362
14	https://www.cars-data.com/en/ford-edge-2019/4181
15	https://www.cars-data.com/en/ford-mondeo-2019/4186
16	https://www.cars-data.com/en/ford-mondeo-2019/4187
17	https://www.cars-data.com/en/ford-mondeo-wagon-2019/4188
18	https://www.cars-data.com/en/hyundai-santa-fe-2019/4204
19	https://www.cars-data.com/en/jaguar-xe-2019/4208
20	https://www.cars-data.com/en/jeep-cherokee-2019/4211
21	https://www.cars-data.com/en/jeep-wrangler-2019/4214
22	https://www.cars-data.com/en/jeep-wrangler-unlimited-2019/4215
23	https://www.cars-data.com/en/kia-e-niro-2019/4218
24	https://www.cars-data.com/en/kia-e-soul-2019/4224
25	https://www.cars-data.com/en/kia-niro-2019/4219
26	https://www.cars-data.com/en/kia-proceed-2019/4222
27	https://www.cars-data.com/en/land-rover-discovery-sport-2019/4233
28	https://www.cars-data.com/en/land-rover-range-rover-evoque-2019/4235
29	https://www.cars-data.com/en/lexus-ux-2019/4244
30	https://www.cars-data.com/en/mazda-3-2019/4249
31	https://www.cars-data.com/en/mazda-3-sedan-2019/4250
32	https://www.cars-data.com/en/mercedes-benz-cla-coupe-2019/4262
33	https://www.cars-data.com/en/mercedes-benz-ecq-2019/4265
34	https://www.cars-data.com/en/mercedes-benz-glc-2019/4267
35	https://www.cars-data.com/en/mercedes-benz-glc-coupe-2019/4268
36	https://www.cars-data.com/en/mercedes-benz-gls-2019/4270
37	https://www.cars-data.com/en/mercedes-benz-sprinter-tourer-2019/4274
38	https://www.cars-data.com/en/mercedes-benz-v-class-2019/4275
39	https://www.cars-data.com/en/mini-clubman-2019/4278
40	https://www.cars-data.com/en/opel-corsa-e-2019/4292
41	https://www.cars-data.com/en/peugeot-508-sw-2019/4300
42	https://www.cars-data.com/en/porsche-911-cabriolet-2019/4303
43	https://www.cars-data.com/en/porsche-911-coupe-2019/4302
44	https://www.cars-data.com/en/porsche-cayenne-coupe-2019/4305
45	https://www.cars-data.com/en/renault-clio-2019/4309
46	https://www.cars-data.com/en/renault-twingo-2019/4312
47	https://www.cars-data.com/en/seat-tarraco-2019/4317
48	https://www.cars-data.com/en/skoda-scala-2019/4323
49	https://www.cars-data.com/en/tesla-model-3-2019/4331
50	https://www.cars-data.com/en/toyota-camry-2019/4334
51	https://www.cars-data.com/en/toyota-corolla-2019/4335
52	https://www.cars-data.com/en/toyota-corolla-sedan-2019/4336
53	https://www.cars-data.com/en/toyota-corolla-touring-sports-2019/4337
54	https://www.cars-data.com/en/toyota-prius-2019/4341
55	https://www.cars-data.com/en/toyota-prius-plug-in-hybrid-2019/4342
56	https://www.cars-data.com/en/toyota-rav4-2019/4344
57	https://www.cars-data.com/en/toyota-supra-2019/4345
